deputy_id;name;party;ideologia_score_partido;ideologia_faixa_partido;campo_ideologico_partido;ideal_point_dim1;ideal_point_dim2;score_comportamental_0_10;score_calibrado_0_10;score_bancada_0_10;desvio_partido;direcao_desvio_partido;desvio_bancada;direcao_desvio_bancada;qtd_votos_validos;qtd_votacoes_usadas;confianca;confianca_faixa;score_comportamental_z
220555;Daiana Santos;PCDOB;1.778;Esquerda;esquerda;-0.8766;-0.2689;0.617;4.313;0.671;2.535;mais a direita;-0.054;alinhado;828;828;0.9601;alta;-1.375
160592;Zeca Dirceu;PT;2.679;Esquerda;esquerda;-0.8764;-0.0134;0.618;4.314;0.566;1.635;mais a direita;0.052;alinhado;809;809;0.9839;alta;-1.375
74398;Maria do Rosário;PT;2.679;Esquerda;esquerda;-0.8762;-0.1589;0.619;4.315;0.566;1.636;mais a direita;0.053;alinhado;756;756;0.9696;alta;-1.374
73433;Arlindo Chinaglia;PT;2.679;Esquerda;esquerda;-0.8746;0.0076;0.627;4.321;0.566;1.642;mais a direita;0.061;alinhado;881;881;0.9864;alta;-1.371
220640;Juliana Cardoso;PT;2.679;Esquerda;esquerda;-0.8742;-0.1832;0.629;4.322;0.566;1.643;mais a direita;0.063;alinhado;806;806;0.9653;alta;-1.37
162067;Kiko Celeguim;PT;2.679;Esquerda;esquerda;-0.8737;0.0571;0.631;4.324;0.566;1.645;mais a direita;0.065;alinhado;844;844;0.9751;alta;-1.369
74376;Vander Loubet;PT;2.679;Esquerda;esquerda;-0.8725;-0.0423;0.637;4.328;0.566;1.649;mais a direita;0.071;alinhado;814;814;0.9816;alta;-1.366
178866;Luizianne Lins;PT;2.679;Esquerda;esquerda;-0.8719;-0.1732;0.641;4.331;0.566;1.652;mais a direita;0.074;alinhado;807;807;0.9765;alta;-1.365
220565;Delegada Adriana Accorsi;PT;2.679;Esquerda;esquerda;-0.8709;-0.0208;0.646;4.335;0.566;1.656;mais a direita;0.079;alinhado;729;729;0.9918;alta;-1.363
204559;Zé Neto;PT;2.679;Esquerda;esquerda;-0.8698;-0.0313;0.651;4.339;0.566;1.66;mais a direita;0.085;alinhado;709;709;0.9873;alta;-1.36
220700;Florentino Neto;PT;2.679;Esquerda;esquerda;-0.8691;0.1578;0.654;4.341;0.566;1.662;mais a direita;0.088;alinhado;830;830;0.9867;alta;-1.359
224333;Welter;PT;2.679;Esquerda;esquerda;-0.8687;-0.0281;0.656;4.343;0.566;1.664;mais a direita;0.09;alinhado;868;868;0.9885;alta;-1.358
204501;Alencar Santana;PT;2.679;Esquerda;esquerda;-0.8675;-0.0568;0.662;4.347;0.566;1.668;mais a direita;0.096;alinhado;1000;1000;0.974;alta;-1.355
220688;Dr. Francisco;PT;2.679;Esquerda;esquerda;-0.8676;0.1286;0.662;4.347;0.566;1.668;mais a direita;0.096;alinhado;901;901;0.9811;alta;-1.356
204492;Paulo Guedes;PT;2.679;Esquerda;esquerda;-0.8667;0.1568;0.666;4.35;0.566;1.671;mais a direita;0.1;alinhado;901;901;0.9845;alta;-1.354
220671;Dilvanda Faro;PT;2.679;Esquerda;esquerda;-0.8655;0.153;0.672;4.355;0.566;1.676;mais a direita;0.106;alinhado;908;908;0.9813;alta;-1.351
229585;Elisangela Araujo;PT;2.679;Esquerda;esquerda;-0.8635;0.0611;0.683;4.362;0.566;1.683;mais a direita;0.116;alinhado;89;89;1.0;alta;-1.347
221378;Reginete Bispo;PT;2.679;Esquerda;esquerda;-0.8604;-0.1495;0.698;4.374;0.566;1.695;mais a direita;0.131;alinhado;414;414;0.9758;alta;-1.34
178970;João Daniel;PT;2.679;Esquerda;esquerda;-0.8589;-0.0561;0.706;4.38;0.566;1.701;mais a direita;0.139;alinhado;787;787;0.9746;alta;-1.337
191923;Flávio Nogueira;PT;2.679;Esquerda;esquerda;-0.8583;0.079;0.708;4.382;0.566;1.703;mais a direita;0.142;alinhado;1058;1058;0.9783;alta;-1.335
141464;José Airton Félix Cirilo;PT;2.679;Esquerda;esquerda;-0.8568;0.0405;0.716;4.387;0.566;1.708;mais a direita;0.15;alinhado;676;676;0.9837;alta;-1.332
229259;Pedro Tourinho;PT;2.679;Esquerda;esquerda;-0.8564;0.1509;0.718;4.389;0.566;1.71;mais a direita;0.151;alinhado;65;65;1.0;alta;-1.331
220601;Washington Quaquá;PT;2.679;Esquerda;esquerda;-0.8557;0.1072;0.721;4.391;0.566;1.712;mais a direita;0.155;alinhado;283;283;0.9859;alta;-1.33
74156;Leonardo Monteiro;PT;2.679;Esquerda;esquerda;-0.8557;-0.0585;0.722;4.392;0.566;1.713;mais a direita;0.155;alinhado;807;807;0.9715;alta;-1.33
74159;Odair Cunha;PT;2.679;Esquerda;esquerda;-0.8485;0.0884;0.758;4.419;0.566;1.74;mais a direita;0.191;alinhado;885;885;0.9808;alta;-1.314
141456;Jilmar Tatto;PT;2.679;Esquerda;esquerda;-0.8478;0.088;0.761;4.421;0.566;1.742;mais a direita;0.195;alinhado;768;768;0.9688;alta;-1.312
74141;Josias Gomes;PT;2.679;Esquerda;esquerda;-0.8476;-0.0536;0.762;4.422;0.566;1.743;mais a direita;0.196;alinhado;772;772;0.9845;alta;-1.312
107283;Gleisi Hoffmann;PT;2.679;Esquerda;esquerda;-0.8378;0.024;0.811;4.459;0.566;1.78;mais a direita;0.244;alinhado;375;375;0.9787;alta;-1.291
141470;José Guimarães;PT;2.679;Esquerda;esquerda;-0.8322;0.0645;0.839;4.48;0.566;1.801;mais a direita;0.273;alinhado;932;932;0.9796;alta;-1.279
139285;Lídice da Mata;PSB;3.589;Centro-esquerda;esquerda;-0.8165;-0.1813;0.917;4.539;1.653;0.95;mais a direita;-0.736;mais a esquerda;900;900;0.9578;alta;-1.245
204515;André Janones;REDE;3.692;Centro-esquerda;esquerda;-0.8154;0.0267;0.923;4.543;1.394;0.851;mais a direita;-0.471;alinhado;802;802;0.9738;alta;-1.242
74295;Inácio Arruda;PCDOB;1.778;Esquerda;esquerda;-0.8134;0.2536;0.933;4.551;0.671;2.773;mais a direita;0.262;alinhado;28;28;0.9643;alta;-1.238
220533;Prof. Reginaldo Veras;PV;4.123;Centro-esquerda;esquerda;-0.8131;-0.3498;0.935;4.552;1.037;0.429;alinhado;-0.102;alinhado;895;895;0.9419;alta;-1.237
160535;Marcon;PT;2.679;Esquerda;esquerda;-0.8106;-0.1908;0.947;4.561;0.566;1.882;mais a direita;0.381;alinhado;862;862;0.9594;alta;-1.232
220668;Maria Arraes;PSB;3.589;Centro-esquerda;esquerda;-0.8057;-0.0532;0.971;4.579;1.653;0.99;mais a direita;-0.682;mais a esquerda;969;969;0.9649;alta;-1.221
220605;Bandeira de Mello;PV;4.123;Centro-esquerda;esquerda;-0.8013;-0.3345;0.993;4.596;1.037;0.473;alinhado;-0.044;alinhado;925;925;0.9395;alta;-1.212
74784;Luiza Erundina;PSOL;1.415;Extrema esquerda;esquerda;-0.7991;-0.6011;1.004;4.604;1.295;3.189;mais a direita;-0.291;alinhado;778;778;0.9332;alta;-1.207
220667;Pedro Campos;PSB;3.589;Centro-esquerda;esquerda;-0.7875;-0.2106;1.062;4.648;1.653;1.059;mais a direita;-0.591;mais a esquerda;937;937;0.9498;alta;-1.182
157130;Túlio Gadêlha;REDE;3.692;Centro-esquerda;esquerda;-0.7788;-0.6273;1.106;4.68;1.394;0.988;mais a direita;-0.288;alinhado;796;796;0.9246;alta;-1.163
220637;Marina Silva;REDE;3.692;Centro-esquerda;esquerda;-0.7749;-0.6321;1.126;4.695;1.394;1.003;mais a direita;-0.269;alinhado;31;31;0.9677;alta;-1.154
160641;Professora Marcivania;PCDOB;1.778;Esquerda;esquerda;-0.7728;-0.3008;1.136;4.703;0.671;2.925;mais a direita;0.466;alinhado;282;282;0.9539;alta;-1.15
229082;Lucyana Genésio;PDT;3.855;Centro-esquerda;esquerda;-0.7707;0.149;1.147;4.711;2.054;0.856;mais a direita;-0.908;mais a esquerda;44;44;1.0;alta;-1.145
220615;Pastor Henrique Vieira;PSOL;1.415;Extrema esquerda;esquerda;-0.7461;-0.6659;1.27;4.803;1.295;3.388;mais a direita;-0.025;alinhado;948;948;0.9441;alta;-1.091
206018;Célia Xakriabá;PSOL;1.415;Extrema esquerda;esquerda;-0.7451;-0.667;1.275;4.807;1.295;3.392;mais a direita;-0.021;alinhado;780;780;0.9436;alta;-1.089
234788;Heloísa Helena;REDE;3.692;Centro-esquerda;esquerda;-0.7416;-0.6708;1.292;4.82;1.394;1.128;mais a direita;-0.103;alinhado;82;82;0.9512;alta;-1.082
74171;Chico Alencar;PSOL;1.415;Extrema esquerda;esquerda;-0.7377;-0.6751;1.311;4.835;1.295;3.42;mais a direita;0.016;alinhado;1054;1054;0.9336;alta;-1.073
220623;Duda Salabert;PSOL;1.415;Extrema esquerda;esquerda;-0.7371;-0.6758;1.315;4.837;1.295;3.422;mais a direita;0.019;alinhado;823;823;0.9417;alta;-1.072
220645;Erika Hilton;PSOL;1.415;Extrema esquerda;esquerda;-0.7353;-0.6777;1.324;4.844;1.295;3.429;mais a direita;0.028;alinhado;706;706;0.9363;alta;-1.068
233592;Paulo Lemos;PT;2.679;Esquerda;esquerda;-0.734;-0.6791;1.33;4.849;0.566;2.17;mais a direita;0.763;mais a direita;160;160;0.9312;alta;-1.065
204394;Gervásio Maia;PCDOB;1.778;Esquerda;esquerda;-0.7333;-0.0566;1.334;4.851;0.671;3.073;mais a direita;0.663;mais a direita;1006;1006;0.9423;alta;-1.064
73531;Ivan Valente;PSOL;1.415;Extrema esquerda;esquerda;-0.729;-0.6845;1.355;4.867;1.295;3.452;mais a direita;0.06;alinhado;830;830;0.9422;alta;-1.054
204533;Idilvan Alencar;PSB;3.589;Centro-esquerda;esquerda;-0.7291;-0.4788;1.355;4.867;1.653;1.278;mais a direita;-0.299;alinhado;512;512;0.9082;alta;-1.055
178927;Aliel Machado;PV;4.123;Centro-esquerda;esquerda;-0.7278;-0.3102;1.361;4.872;1.037;0.749;mais a direita;0.324;alinhado;530;530;0.9208;alta;-1.052
204464;Talíria Petrone;PSOL;1.415;Extrema esquerda;esquerda;-0.7238;-0.69;1.381;4.887;1.295;3.472;mais a direita;0.086;alinhado;650;650;0.9292;alta;-1.043
204407;Fernanda Melchionna;PSOL;1.415;Extrema esquerda;esquerda;-0.7238;-0.69;1.381;4.887;1.295;3.472;mais a direita;0.086;alinhado;833;833;0.9172;alta;-1.043
204535;Sâmia Bomfim;PSOL;1.415;Extrema esquerda;esquerda;-0.7222;-0.6917;1.389;4.893;1.295;3.478;mais a direita;0.094;alinhado;849;849;0.9246;alta;-1.04
220639;Guilherme Boulos;PSOL;1.415;Extrema esquerda;esquerda;-0.7162;-0.6979;1.419;4.915;1.295;3.5;mais a direita;0.124;alinhado;647;647;0.9459;alta;-1.027
141533;Rodrigo Rollemberg;PSB;3.589;Centro-esquerda;esquerda;-0.7115;-0.3476;1.442;4.933;1.653;1.344;mais a direita;-0.211;alinhado;264;264;0.9318;alta;-1.016
221338;Professora Luciene Cavalcante;PSOL;1.415;Extrema esquerda;esquerda;-0.7103;-0.7039;1.448;4.938;1.295;3.523;mais a direita;0.153;alinhado;926;926;0.9384;alta;-1.014
220573;Dorinaldo Malafaia;PDT;3.855;Centro-esquerda;esquerda;-0.7082;-0.3574;1.459;4.945;2.054;1.09;mais a direita;-0.595;mais a esquerda;759;759;0.9262;alta;-1.009
220580;Professora Goreth;PDT;3.855;Centro-esquerda;esquerda;-0.7026;-0.1738;1.487;4.967;2.054;1.112;mais a direita;-0.567;mais a esquerda;486;486;0.9321;alta;-0.997
220598;Tarcísio Motta;PSOL;1.415;Extrema esquerda;esquerda;-0.7023;-0.7119;1.488;4.968;1.295;3.553;mais a direita;0.193;alinhado;1009;1009;0.9346;alta;-0.996
234253;Lucas Abrahao;REDE;3.692;Centro-esquerda;esquerda;-0.7017;-0.7125;1.492;4.97;1.394;1.278;mais a direita;0.097;alinhado;72;72;0.9722;alta;-0.995
152605;Glauber Braga;PSOL;1.415;Extrema esquerda;esquerda;-0.6871;-0.7265;1.564;5.025;1.295;3.61;mais a direita;0.269;alinhado;712;712;0.9073;alta;-0.963
220662;Lucas Ramos;PSB;3.589;Centro-esquerda;esquerda;-0.6799;-0.0758;1.6;5.052;1.653;1.463;mais a direita;-0.053;alinhado;912;912;0.9419;alta;-0.948
74299;Leônidas Cristino;PDT;3.855;Centro-esquerda;esquerda;-0.6787;-0.1688;1.607;5.056;2.054;1.201;mais a direita;-0.448;alinhado;675;675;0.9215;alta;-0.945
74075;Elcione Barbalho;MDB;6.499;Centro-direita;direita;-0.6777;0.2158;1.612;5.06;3.721;-1.439;mais a esquerda;-2.109;mais a esquerda;466;466;0.9421;alta;-0.943
204459;Daniela do Waguinho;REPUBLICANOS;8.333;Direita;direita;-0.6716;0.0139;1.642;5.083;3.731;-3.25;mais a esquerda;-2.089;mais a esquerda;752;752;0.9375;alta;-0.93
122195;Leonardo Gadelha;PODE;7.437;Direita;direita;-0.6651;0.0986;1.675;5.108;3.749;-2.329;mais a esquerda;-2.074;mais a esquerda;55;55;0.9818;alta;-0.915
133439;André Figueiredo;PDT;3.855;Centro-esquerda;esquerda;-0.6497;-0.1311;1.751;5.165;2.054;1.31;mais a direita;-0.303;alinhado;844;844;0.9242;alta;-0.882
141411;Dagoberto Nogueira;PP;8.153;Direita;direita;-0.6491;0.1625;1.754;5.167;4.218;-2.986;mais a esquerda;-2.464;mais a esquerda;903;903;0.9258;alta;-0.881
204486;Mauro Benevides Filho;PDT;3.855;Centro-esquerda;esquerda;-0.6443;-0.0747;1.778;5.185;2.054;1.33;mais a direita;-0.276;alinhado;899;899;0.9188;alta;-0.87
220663;Eriberto Medeiros;PSB;3.589;Centro-esquerda;esquerda;-0.6385;-0.0665;1.808;5.207;1.653;1.618;mais a direita;0.154;alinhado;834;834;0.94;alta;-0.858
74478;Luciano Bivar;UNIAO;8.485;Direita;direita;-0.6372;0.0679;1.814;5.212;4.15;-3.273;mais a esquerda;-2.336;mais a esquerda;300;300;0.8833;alta;-0.855
160517;Paulo Folletto;PSB;3.589;Centro-esquerda;esquerda;-0.6366;-0.2489;1.817;5.214;1.653;1.625;mais a direita;0.163;alinhado;687;687;0.901;alta;-0.854
178931;Luciano Ducci;PSB;3.589;Centro-esquerda;esquerda;-0.6298;-0.1215;1.851;5.24;1.653;1.651;mais a direita;0.198;alinhado;827;827;0.9287;alta;-0.839
160548;Jonas Donizette;PSB;3.589;Centro-esquerda;esquerda;-0.6292;-0.1237;1.854;5.242;1.653;1.653;mais a direita;0.2;alinhado;896;896;0.9118;alta;-0.838
220634;Marcelo Lima;PSB;3.589;Centro-esquerda;esquerda;-0.6287;-0.1536;1.856;5.244;1.653;1.655;mais a direita;0.203;alinhado;186;186;0.8925;alta;-0.837
234840;Cristiano Furlan;REDE;3.692;Centro-esquerda;esquerda;-0.624;-0.7814;1.88;5.262;1.394;1.57;mais a direita;0.486;alinhado;22;22;0.9545;alta;-0.826
204541;Eduardo Bismarck;PV;4.123;Centro-esquerda;esquerda;-0.6215;0.123;1.893;5.271;1.037;1.148;mais a direita;0.856;mais a direita;480;480;0.9083;alta;-0.821
220578;Josenildo;PDT;3.855;Centro-esquerda;esquerda;-0.6207;-0.1511;1.896;5.274;2.054;1.419;mais a direita;-0.158;alinhado;972;972;0.9053;alta;-0.819
204553;Pastor Sargento Isidório;AVANTE;6.473;Centro-direita;direita;-0.6162;-0.0778;1.919;5.291;3.124;-1.182;mais a esquerda;-1.205;mais a esquerda;919;919;0.9151;alta;-0.809
204489;Robério Monteiro;PDT;3.855;Centro-esquerda;esquerda;-0.6143;0.0468;1.928;5.298;2.054;1.443;mais a direita;-0.126;alinhado;625;625;0.9488;alta;-0.805
72442;Felipe Carreras;PSB;3.589;Centro-esquerda;esquerda;-0.6132;0.0522;1.934;5.302;1.653;1.713;mais a direita;0.281;alinhado;748;748;0.9131;alta;-0.803
234310;Ricardo Galvão;REDE;3.692;Centro-esquerda;esquerda;-0.6115;-0.7913;1.943;5.309;1.394;1.617;mais a direita;0.548;mais a direita;124;124;0.8952;alta;-0.799
220582;Daniel Barbosa;PP;8.153;Direita;direita;-0.6053;0.1408;1.974;5.332;4.218;-2.821;mais a esquerda;-2.244;mais a esquerda;716;716;0.9204;alta;-0.786
204534;Tabata Amaral;PSB;3.589;Centro-esquerda;esquerda;-0.6024;-0.7555;1.988;5.343;1.653;1.754;mais a direita;0.335;alinhado;930;930;0.843;media;-0.779
74158;Mário Heringer;PDT;3.855;Centro-esquerda;esquerda;-0.5939;-0.0645;2.03;5.375;2.054;1.52;mais a direita;-0.024;alinhado;656;656;0.9162;alta;-0.761
220604;Marcos Tavares;PDT;3.855;Centro-esquerda;esquerda;-0.5924;-0.0939;2.038;5.38;2.054;1.525;mais a direita;-0.016;alinhado;810;810;0.9037;alta;-0.758
80815;Leo Prates;PDT;3.855;Centro-esquerda;esquerda;-0.5912;0.0676;2.044;5.385;2.054;1.53;mais a direita;-0.01;alinhado;833;833;0.934;alta;-0.755
