id_dep;uri_dep;nome;nomecivil;cpf
204501;https://dadosabertos.camara.leg.br/api/v2/deputados/204501;Alencar Santana;ALENCAR SANTANA BRAGA;
178972;https://dadosabertos.camara.leg.br/api/v2/deputados/178972;Alex Manente;ALEX SPINELLI MANENTE;
204571;https://dadosabertos.camara.leg.br/api/v2/deputados/204571;Alex Santana;ALEX MARCO SANTANA SOUSA;
220542;https://dadosabertos.camara.leg.br/api/v2/deputados/220542;Alexandre Guimarães;JOSÉ ALEXANDRE DOMINGUES GUIMARÃES;
160545;https://dadosabertos.camara.leg.br/api/v2/deputados/160545;Alexandre Leite;ALEXANDRE LEITE DA SILVA;
220554;https://dadosabertos.camara.leg.br/api/v2/deputados/220554;Alexandre Lindenmeyer;ALEXANDRE DUARTE LINDENMEYER;
204503;https://dadosabertos.camara.leg.br/api/v2/deputados/204503;Alexandre Padilha;ALEXANDRE ROCHA SANTOS PADILHA;
221148;https://dadosabertos.camara.leg.br/api/v2/deputados/221148;Alfredinho;ALFREDO ALVES CAVALCANTE;
220576;https://dadosabertos.camara.leg.br/api/v2/deputados/220576;Alfredo Gaspar;ALFREDO GASPAR DE MENDONÇA NETO;
74057;https://dadosabertos.camara.leg.br/api/v2/deputados/74057;Alice Portugal;ALICE MAZZUCO PORTUGAL;
178927;https://dadosabertos.camara.leg.br/api/v2/deputados/178927;Aliel Machado;ALIEL MACHADO BARK;
204353;https://dadosabertos.camara.leg.br/api/v2/deputados/204353;Aline Gurgel;ALINE PARANHOS VARONIL GURGEL;
226708;https://dadosabertos.camara.leg.br/api/v2/deputados/226708;Allan Garcês;ALLAN QUADROS GARCÊS;
178937;https://dadosabertos.camara.leg.br/api/v2/deputados/178937;Altineu Côrtes;ALTINEU CÔRTES FREITAS COUTINHO;
178881;https://dadosabertos.camara.leg.br/api/v2/deputados/178881;Aluisio Mendes;ALUISIO GUIMARAES MENDES FILHO;
220596;https://dadosabertos.camara.leg.br/api/v2/deputados/220596;Amália Barros;AMÁLIA SCUDELER DE BARROS SANTOS;
220707;https://dadosabertos.camara.leg.br/api/v2/deputados/220707;Amanda Gentil;AMANDA KELLY GENTIL GUIMARÃES ROSA;
204356;https://dadosabertos.camara.leg.br/api/v2/deputados/204356;Amaro Neto;AMARO ROCHA NASCIMENTO NETO;
220715;https://dadosabertos.camara.leg.br/api/v2/deputados/220715;Amom Mandel;AMOM MANDEL LINS FILHO;
107970;https://dadosabertos.camara.leg.br/api/v2/deputados/107970;Ana Paula Leão;ANA PAULA PROCOPIO JUNQUEIRA;
220556;https://dadosabertos.camara.leg.br/api/v2/deputados/220556;Ana Paula Lima;ANA PAULA DE SOUZA LIMA;
220632;https://dadosabertos.camara.leg.br/api/v2/deputados/220632;Ana Pimentel;ANA CRISTINA DE LIMA PIMENTEL;
178831;https://dadosabertos.camara.leg.br/api/v2/deputados/178831;André Abdon;ANDRE DOS SANTOS ABDON;
220657;https://dadosabertos.camara.leg.br/api/v2/deputados/220657;André Fernandes;ANDRÉ FERNANDES DE MOURA;
204423;https://dadosabertos.camara.leg.br/api/v2/deputados/204423;André Ferreira;ANDRÉ FERREIRA RODRIGUES;
133439;https://dadosabertos.camara.leg.br/api/v2/deputados/133439;André Figueiredo;ANDRÉ PEIXOTO FIGUEIREDO LIMA;
178882;https://dadosabertos.camara.leg.br/api/v2/deputados/178882;André Fufuca;ANDRE LUIZ CARVALHO RIBEIRO;
204515;https://dadosabertos.camara.leg.br/api/v2/deputados/204515;André Janones;ANDRE LUIS GASPAR JANONES;
220676;https://dadosabertos.camara.leg.br/api/v2/deputados/220676;Andreia Siqueira;ANDREIA BRITO GONÇALVES SIQUEIRA;
123756;https://dadosabertos.camara.leg.br/api/v2/deputados/123756;Antônia Lúcia;ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA;
220544;https://dadosabertos.camara.leg.br/api/v2/deputados/220544;Antonio Andrade;ANTONIO POINCARE ANDRADE FILHO;
160553;https://dadosabertos.camara.leg.br/api/v2/deputados/160553;Antonio Brito;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;
220638;https://dadosabertos.camara.leg.br/api/v2/deputados/220638;Antonio Carlos Rodrigues;ANTONIO CARLOS RODRIGUES;
220675;https://dadosabertos.camara.leg.br/api/v2/deputados/220675;Antônio Doido;ANTONIO LEOCÁDIO DOS SANTOS;
220549;https://dadosabertos.camara.leg.br/api/v2/deputados/220549;Any Ortiz;ANY MACHADO ORTIZ;
73433;https://dadosabertos.camara.leg.br/api/v2/deputados/73433;Arlindo Chinaglia;ARLINDO CHIGNALIA JUNIOR;
141391;https://dadosabertos.camara.leg.br/api/v2/deputados/141391;Arnaldo Jardim;ARNALDO CALIL PEREIRA JARDIM;
160541;https://dadosabertos.camara.leg.br/api/v2/deputados/160541;Arthur Lira;ARTHUR CÉSAR PEREIRA DE LIRA;
160600;https://dadosabertos.camara.leg.br/api/v2/deputados/160600;Arthur Oliveira Maia;ARTHUR DE OLIVEIRA MAIA DA SILVA;
74090;https://dadosabertos.camara.leg.br/api/v2/deputados/74090;Átila Lins;ÁTILA SIDNEY LINS DE ALBUQUERQUE;
123086;https://dadosabertos.camara.leg.br/api/v2/deputados/123086;Átila Lira;ÁTILA DE MELO LIRA;
160665;https://dadosabertos.camara.leg.br/api/v2/deputados/160665;Augusto Coutinho;AUGUSTO RODRIGUES COUTINHO DE MELO;
220577;https://dadosabertos.camara.leg.br/api/v2/deputados/220577;Augusto Puppio;JOSÉ AUGUSTO PUPPIO REIS JÚNIOR;
160512;https://dadosabertos.camara.leg.br/api/v2/deputados/160512;Aureo Ribeiro;AUREO LIDIO MOREIRA RIBEIRO;
69871;https://dadosabertos.camara.leg.br/api/v2/deputados/69871;Bacelar;JOAO CARLOS BACELAR BATISTA;
178975;https://dadosabertos.camara.leg.br/api/v2/deputados/178975;Baleia Rossi;LUIZ FELIPE BALEIA TENUTO ROSSI;
220605;https://dadosabertos.camara.leg.br/api/v2/deputados/220605;Bandeira de Mello;EDUARDO CARVALHO BANDEIRA DE MELLO;
220612;https://dadosabertos.camara.leg.br/api/v2/deputados/220612;Bebeto;Carlos Roberto Rodrigues;
73701;https://dadosabertos.camara.leg.br/api/v2/deputados/73701;Benedita da Silva;BENEDITA SOUZA DA SILVA SAMPAIO;
109429;https://dadosabertos.camara.leg.br/api/v2/deputados/109429;Benes Leocádio;LUIZ BENES LEOCADIO DE ARAUJO;
204358;https://dadosabertos.camara.leg.br/api/v2/deputados/204358;Beto Pereira;HUMBERTO REZENDE PEREIRA;
220698;https://dadosabertos.camara.leg.br/api/v2/deputados/220698;Beto Preto;CARLOS ALBERTO GEBRIM PRETO;
220683;https://dadosabertos.camara.leg.br/api/v2/deputados/220683;Beto Richa;CARLOS ALBERTO RICHA;
204374;https://dadosabertos.camara.leg.br/api/v2/deputados/204374;Bia Kicis;BEATRIZ KICIS TORRENTS DE SORDI;
204388;https://dadosabertos.camara.leg.br/api/v2/deputados/204388;Bibo Nunes;ALCIBIO MESQUITA BIBO NUNES;
160538;https://dadosabertos.camara.leg.br/api/v2/deputados/160538;Bohn Gass;ELVINO JOSÉ BOHN GASS;
74052;https://dadosabertos.camara.leg.br/api/v2/deputados/74052;Bosco Costa;JOÃO BOSCO DA COSTA;
210989;https://dadosabertos.camara.leg.br/api/v2/deputados/210989;Bruno Farias;BRUNO SOUZA FARIAS;
220635;https://dadosabertos.camara.leg.br/api/v2/deputados/220635;Bruno Ganem;BRUNO AREVALO GANEM;
220574;https://dadosabertos.camara.leg.br/api/v2/deputados/220574;Cabo Gilberto Silva;GILBERTO GOMES DA SILVA;
143942;https://dadosabertos.camara.leg.br/api/v2/deputados/143942;Caio Vianna;CAIO SANTOS VIANNA;
220548;https://dadosabertos.camara.leg.br/api/v2/deputados/220548;Camila Jara;CAMILA BAZACHI JARA MARZOCHI;
204572;https://dadosabertos.camara.leg.br/api/v2/deputados/204572;Capitão Alberto Neto;ALBERTO BARROS CAVALCANTE NETO;
220690;https://dadosabertos.camara.leg.br/api/v2/deputados/220690;Capitão Alden;ALDEN JOSE LAZARO DA SILVA;
178829;https://dadosabertos.camara.leg.br/api/v2/deputados/178829;Capitão Augusto;JOSE AUGUSTO ROSA;
229069;https://dadosabertos.camara.leg.br/api/v2/deputados/229069;Capitão Samuel;SAMUEL ALVES BARRETO;
229106;https://dadosabertos.camara.leg.br/api/v2/deputados/229106;Carla Ayres;CARLA SIMARA LUCIANA DA SILVA AYRES;
213762;https://dadosabertos.camara.leg.br/api/v2/deputados/213762;Carla Dickson;HILKEA CARLA DE SOUZA MEDEIROS LIMA;
204507;https://dadosabertos.camara.leg.br/api/v2/deputados/204507;Carla Zambelli;CARLA ZAMBELLI SALGADO DE OLIVEIRA;
204361;https://dadosabertos.camara.leg.br/api/v2/deputados/204361;Carlos Chiodini;CARLOS ALBERTO CHIODINI;
178962;https://dadosabertos.camara.leg.br/api/v2/deputados/178962;Carlos Gomes;ANTONIO CARLOS GOMES DA SILVA;
178993;https://dadosabertos.camara.leg.br/api/v2/deputados/178993;Carlos Henrique Gaguim;CARLOS HENRIQUE AMORIM;
204460;https://dadosabertos.camara.leg.br/api/v2/deputados/204460;Carlos Jordy;Carlos Roberto Jordy Coelho de Mattos;
74262;https://dadosabertos.camara.leg.br/api/v2/deputados/74262;Carlos Sampaio;CARLOS HENRIQUE FOCESI SAMPAIO;
204426;https://dadosabertos.camara.leg.br/api/v2/deputados/204426;Carlos Veras;JOSÉ CARLOS VERAS DOS SANTOS;
141398;https://dadosabertos.camara.leg.br/api/v2/deputados/141398;Carlos Zarattini;CARLOS ALBERTO ROLIM ZARATTINI;
164360;https://dadosabertos.camara.leg.br/api/v2/deputados/164360;Carmen Zanotto;CARMEN EMÍLIA BONFÁ ZANOTTO;
220704;https://dadosabertos.camara.leg.br/api/v2/deputados/220704;Carol Dartora;ANA CAROLINA MOURA MELO DARTORA;
204369;https://dadosabertos.camara.leg.br/api/v2/deputados/204369;Caroline de Toni;CAROLINE RODRIGUES DE TONI;
220699;https://dadosabertos.camara.leg.br/api/v2/deputados/220699;Castro Neto;JOSÉ DIAS DE CASTRO NETO;
206018;https://dadosabertos.camara.leg.br/api/v2/deputados/206018;Célia Xakriabá;CÉLIA NUNES CORREA;
178876;https://dadosabertos.camara.leg.br/api/v2/deputados/178876;Célio Silveira;CELIO ANTONIO DA SILVEIRA;
204488;https://dadosabertos.camara.leg.br/api/v2/deputados/204488;Célio Studart;CELIO STUDART BARBOSA;
73441;https://dadosabertos.camara.leg.br/api/v2/deputados/73441;Celso Russomanno;CELSO UBIRAJARA RUSSOMANNO;
204496;https://dadosabertos.camara.leg.br/api/v2/deputados/204496;Celso Sabino;CELSO SABINO DE OLIVEIRA;
204504;https://dadosabertos.camara.leg.br/api/v2/deputados/204504;Cezinha de Madureira;ANTONIO CEZAR CORREIA FREIRE;
205476;https://dadosabertos.camara.leg.br/api/v2/deputados/205476;Charles Fernandes;CHARLES FERNANDES SILVEIRA SANTANA;
74171;https://dadosabertos.camara.leg.br/api/v2/deputados/74171;Chico Alencar;FRANCISCO RODRIGUES DE ALENCAR FILHO;
204476;https://dadosabertos.camara.leg.br/api/v2/deputados/204476;Chiquinho Brazão;JOÃO FRANCISCO INÁCIO BRAZÃO;
204462;https://dadosabertos.camara.leg.br/api/v2/deputados/204462;Chris Tonietto;CHRISTINE NOGUEIRA DOS REIS TONIETTO;
220665;https://dadosabertos.camara.leg.br/api/v2/deputados/220665;Clarissa Tércio;ERICA CLARISSA BORBA CORDEIRO DE MOURA;
74537;https://dadosabertos.camara.leg.br/api/v2/deputados/74537;Claudio Cajado;CLÁUDIO CAJADO SAMPAIO;
141408;https://dadosabertos.camara.leg.br/api/v2/deputados/141408;Cleber Verde;CLEBER VERDE CORDEIRO MENDES;
88256;https://dadosabertos.camara.leg.br/api/v2/deputados/88256;Clodoaldo Magalhães;CLODOALDO MAGALHÃES OLIVEIRA LYRA;
98148;https://dadosabertos.camara.leg.br/api/v2/deputados/98148;Cobalchini;VALDIR VITAL COBALCHINI;
204376;https://dadosabertos.camara.leg.br/api/v2/deputados/204376;Coronel Armando;LUIZ ARMANDO SCHROEDER REIS;
220594;https://dadosabertos.camara.leg.br/api/v2/deputados/220594;Coronel Assis;JONILDO JOSÉ DE ASSIS;
204378;https://dadosabertos.camara.leg.br/api/v2/deputados/204378;Coronel Chrisóstomo;JOÃO CHRISÓSTOMO DE MOURA;
220595;https://dadosabertos.camara.leg.br/api/v2/deputados/220595;Coronel Fernanda;RUBIA FERNANDA DINIZ ROBSON SANTOS DE SIQUEIRA;
220666;https://dadosabertos.camara.leg.br/api/v2/deputados/220666;Coronel Meira;LUIZ DE FRANÇA E SILVA MEIRA;
204514;https://dadosabertos.camara.leg.br/api/v2/deputados/204514;Coronel Tadeu;MARCIO TADEU ANHAIA DE LEMOS;
222142;https://dadosabertos.camara.leg.br/api/v2/deputados/222142;Coronel Telhada;PAULO ADRIANO LOPES LUCINDA TELHADA;
220590;https://dadosabertos.camara.leg.br/api/v2/deputados/220590;Coronel Ulysses;ULYSSES FREITAS PEREIRA DE ARAÚJO;
178963;https://dadosabertos.camara.leg.br/api/v2/deputados/178963;Covatti Filho;LUIS ANTONIO FRANCISCATTO COVATTI;
220608;https://dadosabertos.camara.leg.br/api/v2/deputados/220608;Cristiane Lopes;CRISTIANE LOPES DA LUZ;
234840;https://dadosabertos.camara.leg.br/api/v2/deputados/234840;Cristiano Furlan;CRISTIANO BEVILACQUA FURLAN;
204355;https://dadosabertos.camara.leg.br/api/v2/deputados/204355;Da Vitoria;JOSIAS MARIO DA VITORIA;
141411;https://dadosabertos.camara.leg.br/api/v2/deputados/141411;Dagoberto Nogueira;DAGOBERTO NOGUEIRA FILHO;
220555;https://dadosabertos.camara.leg.br/api/v2/deputados/220555;Daiana Santos;DAIANA SILVA DOS SANTOS;
220692;https://dadosabertos.camara.leg.br/api/v2/deputados/220692;Dal Barreto;ADALBERTO ROSA BARRETO;
74467;https://dadosabertos.camara.leg.br/api/v2/deputados/74467;Damião Feliciano;DAMIÃO FELICIANO DA SILVA;
220629;https://dadosabertos.camara.leg.br/api/v2/deputados/220629;Dandara;DANDARA TONANTZIN SILVA CASTRO;
220603;https://dadosabertos.camara.leg.br/api/v2/deputados/220603;Dani Cunha;DANIELLE DYTZ DA CUNHA;
220571;https://dadosabertos.camara.leg.br/api/v2/deputados/220571;Daniel Agrobom;DANIEL VIEIRA RAMOS;
74060;https://dadosabertos.camara.leg.br/api/v2/deputados/74060;Daniel Almeida;DANIEL GOMES DE ALMEIDA;
220582;https://dadosabertos.camara.leg.br/api/v2/deputados/220582;Daniel Barbosa;DANIEL BARBOSA DE ALMEIDA SILVA;
204367;https://dadosabertos.camara.leg.br/api/v2/deputados/204367;Daniel Freitas;DANIEL COSTA DE FREITAS;
228941;https://dadosabertos.camara.leg.br/api/v2/deputados/228941;Daniel José;DANIEL JOSÉ DA SILVA OLIVEIRA;
204409;https://dadosabertos.camara.leg.br/api/v2/deputados/204409;Daniel Trzeciak;DANIEL TRZECIAK DUARTE;
204459;https://dadosabertos.camara.leg.br/api/v2/deputados/204459;Daniela do Waguinho;DANIELA MOTE DE SOUZA CARNEIRO;
220557;https://dadosabertos.camara.leg.br/api/v2/deputados/220557;Daniela Reinehr;DANIELA CRISTINA REINEHR;
62881;https://dadosabertos.camara.leg.br/api/v2/deputados/62881;Danilo Forte;FRANCISCO DANILO BASTOS FORTE;
160552;https://dadosabertos.camara.leg.br/api/v2/deputados/160552;Danrlei de Deus Hinterholz;DANRLEI DE DEUS HINTERHOLZ;
116379;https://dadosabertos.camara.leg.br/api/v2/deputados/116379;Darci de Matos;DARCI DE MATOS;
204511;https://dadosabertos.camara.leg.br/api/v2/deputados/204511;David Soares;DAVID BEZERRA RIBEIRO SOARES;
220659;https://dadosabertos.camara.leg.br/api/v2/deputados/220659;Dayany Bittencourt;DAYANY BITTENCOURT SANTIL;
220539;https://dadosabertos.camara.leg.br/api/v2/deputados/220539;Defensor Stélio Dener;STÉLIO DENER DE SOUZA CRUZ;
220565;https://dadosabertos.camara.leg.br/api/v2/deputados/220565;Delegada Adriana Accorsi;ADRIANA SAUTHIER ACCORSI;
220625;https://dadosabertos.camara.leg.br/api/v2/deputados/220625;Delegada Ione;IONE MARIA MOREIRA DIAS BARBOSA;
220561;https://dadosabertos.camara.leg.br/api/v2/deputados/220561;Delegada Katarina;KATARINA FEITOZA LIMA SANTANA;
220642;https://dadosabertos.camara.leg.br/api/v2/deputados/220642;Delegado Bruno Lima;BRUNO MARCELLO DE OLIVEIRA LIMA;
220673;https://dadosabertos.camara.leg.br/api/v2/deputados/220673;Delegado Caveira;LENILDO MENDES DOS SANTOS SERTÃO;
220649;https://dadosabertos.camara.leg.br/api/v2/deputados/220649;Delegado da Cunha;CARLOS ALBERTO DA CUNHA;
178908;https://dadosabertos.camara.leg.br/api/v2/deputados/178908;Delegado Éder Mauro;EDER MAURO CARDOSO BARRA;
220583;https://dadosabertos.camara.leg.br/api/v2/deputados/220583;Delegado Fabio Costa;FABIO MICHEY COSTA DA SILVA;
204512;https://dadosabertos.camara.leg.br/api/v2/deputados/204512;Delegado Marcelo Freitas;MARCELO EDUARDO FREITAS;
220701;https://dadosabertos.camara.leg.br/api/v2/deputados/220701;Delegado Matheus Laiola;MATHEUS ARAUJO LAIOLA;
220652;https://dadosabertos.camara.leg.br/api/v2/deputados/220652;Delegado Palumbo;MARIO PALUMBO JUNIOR;
220654;https://dadosabertos.camara.leg.br/api/v2/deputados/220654;Delegado Paulo Bilynskyj;PAULO FRANCISCO MUNIZ BILYNSKYJ;
220619;https://dadosabertos.camara.leg.br/api/v2/deputados/220619;Delegado Ramagem;ALEXANDRE RAMAGEM RODRIGUES;
228272;https://dadosabertos.camara.leg.br/api/v2/deputados/228272;Délio Pinheiro;DELIO PINHEIRO NETO;
220705;https://dadosabertos.camara.leg.br/api/v2/deputados/220705;Deltan Dallagnol;DELTAN MARTINAZZO DALLAGNOL;
220553;https://dadosabertos.camara.leg.br/api/v2/deputados/220553;Denise Pessôa;DENISE DA SILVA PESSÔA;
220689;https://dadosabertos.camara.leg.br/api/v2/deputados/220689;Detinha;MARIA DEUSDETE LIMA CUNHA RODRIGUES;
160588;https://dadosabertos.camara.leg.br/api/v2/deputados/160588;Diego Andrade;DIEGO LEONARDO DE ANDRADE CARVALHO;
220691;https://dadosabertos.camara.leg.br/api/v2/deputados/220691;Diego Coronel;DIEGO HENRIQUE SILVA CERQUEIRA MARTINS;
178929;https://dadosabertos.camara.leg.br/api/v2/deputados/178929;Diego Garcia;DIEGO ALEXSANDER GONCALO PAULA GARCIA;
73768;https://dadosabertos.camara.leg.br/api/v2/deputados/73768;Dilceu Sperafico;DILCEU JOÃO SPERAFICO;
220671;https://dadosabertos.camara.leg.br/api/v2/deputados/220671;Dilvanda Faro;DILVANDA FURTADO FARO;
160599;https://dadosabertos.camara.leg.br/api/v2/deputados/160599;Dimas Fabiano;DIMAS FABIANO TOLEDO JÚNIOR;
220602;https://dadosabertos.camara.leg.br/api/v2/deputados/220602;Dimas Gadelha;DIMAS DE PAIVA GADELHA JUNIOR;
143632;https://dadosabertos.camara.leg.br/api/v2/deputados/143632;Domingos Neto;DOMINGOS GOMES DE AGUIAR NETO;
160758;https://dadosabertos.camara.leg.br/api/v2/deputados/160758;Domingos Sávio;DOMINGOS SÁVIO CAMPOS RESENDE;
220573;https://dadosabertos.camara.leg.br/api/v2/deputados/220573;Dorinaldo Malafaia;DORINALDO BARBOSA MALAFAIA;
227433;https://dadosabertos.camara.leg.br/api/v2/deputados/227433;Douglas Viegas;DOUGLAS DE PAULO VIEGAS;
204450;https://dadosabertos.camara.leg.br/api/v2/deputados/204450;Doutor Luizinho;LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR;
227401;https://dadosabertos.camara.leg.br/api/v2/deputados/227401;Dr Fabio Rueda;FABIO GONÇALVES DE RUEDA;
227991;https://dadosabertos.camara.leg.br/api/v2/deputados/227991;Dr Flávio;FLAVIO CAMPOS FERREIRA;
221339;https://dadosabertos.camara.leg.br/api/v2/deputados/221339;Dr. Benjamim;BENJAMIM DE OLIVEIRA;
220614;https://dadosabertos.camara.leg.br/api/v2/deputados/220614;Dr. Daniel Soranz;DANIEL RICARDO SORANZ PINTO;
220610;https://dadosabertos.camara.leg.br/api/v2/deputados/220610;Dr. Fernando Máximo;FERNANDO RODRIGUES MÁXIMO;
220688;https://dadosabertos.camara.leg.br/api/v2/deputados/220688;Dr. Francisco;FRANCISCO DE ASSIS DE OLIVEIRA COSTA;
204518;https://dadosabertos.camara.leg.br/api/v2/deputados/204518;Dr. Frederico;FREDERICO DE CASTRO ESCALEIRA;
212625;https://dadosabertos.camara.leg.br/api/v2/deputados/212625;Dr. Gonçalo;ANTONIO ELIZABETH GONÇALO DE SOUSA;
220570;https://dadosabertos.camara.leg.br/api/v2/deputados/220570;Dr. Ismael Alexandrino;ISMAEL ALEXANDRINO JUNIOR;
204481;https://dadosabertos.camara.leg.br/api/v2/deputados/204481;Dr. Jaziel;JAZIEL PEREIRA DE SOUSA;
204351;https://dadosabertos.camara.leg.br/api/v2/deputados/204351;Dr. Luiz Ovando;LUIZ ALBERTO OVANDO;
228616;https://dadosabertos.camara.leg.br/api/v2/deputados/228616;Dr. Remy Soares;REMY ALVES SOARES FILHO;
220528;https://dadosabertos.camara.leg.br/api/v2/deputados/220528;Dr. Victor Linhalis;VICTOR GAROZI LINHALIS;
204412;https://dadosabertos.camara.leg.br/api/v2/deputados/204412;Dr. Zacharias Calil;ZACARIAS CALIL HAMU;
220674;https://dadosabertos.camara.leg.br/api/v2/deputados/220674;Dra. Alessandra Haber;ALESSANDRA HABER CARVALHO SANTOS;
230088;https://dadosabertos.camara.leg.br/api/v2/deputados/230088;Dra. Mayra Pinheiro;MAYRA ISABEL CORREIA PINHEIRO;
227800;https://dadosabertos.camara.leg.br/api/v2/deputados/227800;Duarte Gonçalves Jr;DUARTE EUSTÁQUIO GONÇALVES JUNIOR;
220686;https://dadosabertos.camara.leg.br/api/v2/deputados/220686;Duarte Jr.;HILDELIS SILVA DUARTE JUNIOR;
220540;https://dadosabertos.camara.leg.br/api/v2/deputados/220540;Duda Ramos;DUDA BRITO RAMOS;
220623;https://dadosabertos.camara.leg.br/api/v2/deputados/220623;Duda Salabert;DUDA SALABERT ROSA;
204541;https://dadosabertos.camara.leg.br/api/v2/deputados/204541;Eduardo Bismarck;EDUARDO HENRIQUE MAIA BISMARCK;
92346;https://dadosabertos.camara.leg.br/api/v2/deputados/92346;Eduardo Bolsonaro;EDUARDO NANTES BOLSONARO;
141421;https://dadosabertos.camara.leg.br/api/v2/deputados/141421;Eduardo da Fonte;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;
220589;https://dadosabertos.camara.leg.br/api/v2/deputados/220589;Eduardo Velloso;EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA;
74075;https://dadosabertos.camara.leg.br/api/v2/deputados/74075;Elcione Barbalho;ELCIONE THEREZINHA ZAHLUTH BARBALHO;
204364;https://dadosabertos.camara.leg.br/api/v2/deputados/204364;Eli Borges;ELI DIAS BORGES;
226553;https://dadosabertos.camara.leg.br/api/v2/deputados/226553;Eliane Braz;FRANCISCA ELIANE BRAZ DE CARVALHO;
229585;https://dadosabertos.camara.leg.br/api/v2/deputados/229585;Elisangela Araujo;ELISANGELA DOS SANTOS ARAUJO;
220008;https://dadosabertos.camara.leg.br/api/v2/deputados/220008;Eliza Virgínia;ELIZA VIRGINIA DE SOUZA FERNANDES;
234406;https://dadosabertos.camara.leg.br/api/v2/deputados/234406;Elmano Férrer;ELMANO FÉRRER DE ALMEIDA;
178854;https://dadosabertos.camara.leg.br/api/v2/deputados/178854;Elmar Nascimento;ELMAR JOSE VIEIRA NASCIMENTO;
218086;https://dadosabertos.camara.leg.br/api/v2/deputados/218086;Ely Santos;ELIANE DE SOUSA ALVES;
198783;https://dadosabertos.camara.leg.br/api/v2/deputados/198783;Emanuel Pinheiro Neto;EMANUEL PINHEIRO DA SILVA PRIMO;
161550;https://dadosabertos.camara.leg.br/api/v2/deputados/161550;Emidinho Madeira;EMIDIO ALVES MADEIRA JUNIOR;
225730;https://dadosabertos.camara.leg.br/api/v2/deputados/225730;Enfermeira Ana Paula;ANA PAULA BRANDÃO DA SILVA FARIAS;
230765;https://dadosabertos.camara.leg.br/api/v2/deputados/230765;Enfermeira Rejane;REJANE DE ALMEIDA;
132504;https://dadosabertos.camara.leg.br/api/v2/deputados/132504;Enio Verri;ENIO JOSÉ VERRI;
220663;https://dadosabertos.camara.leg.br/api/v2/deputados/220663;Eriberto Medeiros;JOSÉ ERIBERTO MEDEIROS DE OLIVEIRA;
220645;https://dadosabertos.camara.leg.br/api/v2/deputados/220645;Erika Hilton;ERIKA SANTOS SILVA;
160575;https://dadosabertos.camara.leg.br/api/v2/deputados/160575;Erika Kokay;ÉRIKA JUCÁ KOKAY;
160640;https://dadosabertos.camara.leg.br/api/v2/deputados/160640;Eros Biondini;EROS FERREIRA BIONDINI;
204482;https://dadosabertos.camara.leg.br/api/v2/deputados/204482;Euclydes Pettersen;EUCLYDES MARCOS PETTERSEN NETO;
74454;https://dadosabertos.camara.leg.br/api/v2/deputados/74454;Eunício Oliveira;EUNÍCIO LOPES DE OLIVEIRA;
