"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"104333-70";"https://dadosabertos.camara.leg.br/api/v2/votacoes/104333-70";"2023-01-31";"2024-05-17T16:06:48";"539387";"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"0";"";"1";"0";"0";"0";"[PARECER DADO AO PL 5269/2001 E CONSIDERADO VÁLIDO PARA O PL 11/2003, NOS TERMOS DO § 2º DO ART 105 DO RICD]: Aprovado por Unanimidade o Parecer. 
Parecer da Relatora, Dep. Solange Almeida (PMDB-RJ), pela aprovação deste, pela rejeição do PL 7249/2002, do PL 2415/1996, do PL 3046/1997, do PL 3422/1997, do PL 4360/1998, do PL 1568/1999, do PL 2029/1999, do PL 2507/2000, do PL 3573/2000, do PL 6333/2002, do PL 2134/1996, do PL 6276/2002, do PL 11/2003, do PL 593/2003, do PL 919/2003, do PL 1622/2003, do PL 2112/2003, do PL 2125/2003, do PL 2400/2003, do PL 3408/2004, do PL 3726/2004, do PL 3930/2004, do PL 4324/2004, do PL 4337/2004, do PL 4846/2005, do PL 6532/2006, do PL 911/2007, do PL 4566/2004, do PL 963/2007, e do PL 3013/2004, apensados.";"";"";"";"";"0";""
"448154-56";"https://dadosabertos.camara.leg.br/api/v2/votacoes/448154-56";"2023-01-31";"2025-06-25T19:09:04";"4";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"0";"";"1";"0";"0";"0";"Em 02/04/2009 Aprovado por Unanimidade o Parecer.( PARECER DADO AO PL 3981/2000 E CONSIDERADO VÁLIDO PARA O PL 5952/2009, NOS TERMOS DO § 2º DO ART 105 DO RICD]:";"";"";"2015-03-05T16:32:15";"Apresentação do Requerimento de Desarquivamento de Proposições n. 108/2015, pelo Deputado Ricardo Izar (PSD-SP), que: ""Solicita o desarquivamento de proposições de sua autoria"".";"0";""
"2301213-63";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2301213-63";"2023-02-07";"2023-02-07T18:50:55";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-07T18:50:36";"Votação da Redação Final.";"";"";"0";""
"2305154-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2305154-59";"2023-02-07";"2023-02-07T19:19:02";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-07T19:18:41";"Votação da Redação Final.";"";"Apresentação do Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais n. 930/2021, pela Representação Brasileira no Parlamento do Mercosul., que: ""Aprova o texto do Acordo entre a República Federativa do Brasil e a República do Peru para Facilitação do Trânsito de Veículos de uso Particular, assinado em Lima, em 11 de dezembro de 2009"".";"0";""
"2310248-32";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2310248-32";"2023-02-07";"2023-02-07T20:13:39";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-07T20:13:12";"Votação da Redação Final.";"";"";"0";""
"2301213-61";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2301213-61";"2023-02-07";"2023-02-07T18:50:25";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 776, de 2021.";"2023-02-07T18:40:24";"Votação em turno único.";"";"";"0";""
"2305154-57";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2305154-57";"2023-02-07";"2023-02-07T19:18:26";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 930, de 2021.";"2023-02-07T19:07:37";"Votação em turno único.";"";"Apresentação do Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais n. 930/2021, pela Representação Brasileira no Parlamento do Mercosul., que: ""Aprova o texto do Acordo entre a República Federativa do Brasil e a República do Peru para Facilitação do Trânsito de Veículos de uso Particular, assinado em Lima, em 11 de dezembro de 2009"".";"0";""
"2310248-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2310248-30";"2023-02-07";"2023-02-07T20:11:48";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67091";"https://dadosabertos.camara.leg.br/api/v2/eventos/67091";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 1.101, de 2021.";"2023-02-07T20:03:12";"Votação em turno único.";"";"";"0";""
"2348205-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-21";"2023-02-08";"2023-02-08T19:30:04";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67104";"https://dadosabertos.camara.leg.br/api/v2/eventos/67104";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Hugo Motta (REPUBLIC-PB).";"2023-02-08T19:29:49";"Votação da Redação Final.";"2023-02-08T18:58:49";"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Substitutivo apresentado.";"2348210";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348210"
"2348205-14";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-14";"2023-02-08";"2023-02-08T19:14:38";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67104";"https://dadosabertos.camara.leg.br/api/v2/eventos/67104";"1";"0";"0";"0";"Aprovado o Substitutivo ao Projeto de Resolução nº 15, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.";"2023-02-08T19:14:00";"Votação em turno único.";"2023-02-08T18:58:49";"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Substitutivo apresentado.";"2348210";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348210"
"2348237-5";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348237-5";"2023-02-08";"2023-02-08T19:42:26";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67104";"https://dadosabertos.camara.leg.br/api/v2/eventos/67104";"1";"0";"0";"0";"Aprovado o Requerimento de Urgência (Art. 155 do RICD).";"";"";"";"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 94/2023, pelo Deputado Altineu Côrtes (PL/RJ), que ""Requer urgência para apreciação nos termos do art. 155, do Regimento Interno, do PRC 15/2023"".";"0";""
"2348205-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2348205-26";"2023-02-08";"2023-02-08T19:42:27";"100001";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"SECAP(SGM)";"0";"";"1";"0";"0";"0";"Realizar o encaminhamento do PRC-15/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.";"";"";"";"";"0";""
"2313048-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313048-46";"2023-02-09";"2023-02-09T10:04:18";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-09T10:03:37";"Votação da Redação Final.";"";"";"0";""
"2324976-44";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-44";"2023-02-09";"2023-02-09T10:49:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-09T10:49:01";"Votação da Redação Final.";"";"Apresentação do Projeto de Decreto Legislativo n. 160/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto do Protocolo sobre Transferência de Pessoas Sujeitas a Regimes Especiais (Complementar ao Acordo sobre Transferência de Pessoas Condenadas entre os Estados Partes do Mercosul e a República da Bolívia e a República do Chile), celebrado em Assunção, em 20 de junho de 2005"".";"0";""
"2313048-44";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2313048-44";"2023-02-09";"2023-02-09T10:03:29";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 1.130, de 2021.";"2023-02-09T09:59:01";"Votação em turno único.";"";"";"0";""
"2324976-40";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-40";"2023-02-09";"2023-02-09T10:47:17";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 160, de 2022.";"2023-02-09T10:29:24";"Votação em turno único.";"";"Apresentação do Projeto de Decreto Legislativo n. 160/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto do Protocolo sobre Transferência de Pessoas Sujeitas a Regimes Especiais (Complementar ao Acordo sobre Transferência de Pessoas Condenadas entre os Estados Partes do Mercosul e a República da Bolívia e a República do Chile), celebrado em Assunção, em 20 de junho de 2005"".";"0";""
"2324976-42";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324976-42";"2023-02-09";"2023-02-09T10:48:52";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67107";"https://dadosabertos.camara.leg.br/api/v2/eventos/67107";"1";"0";"0";"0";"Aprovada a Emenda de Comissão nº 1, de 2022.";"2023-02-09T10:48:30";"Votação da Emenda da Comissão de Relações Exteriores e de Defesa Nacional.";"";"Apresentação do Projeto de Decreto Legislativo n. 160/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto do Protocolo sobre Transferência de Pessoas Sujeitas a Regimes Especiais (Complementar ao Acordo sobre Transferência de Pessoas Condenadas entre os Estados Partes do Mercosul e a República da Bolívia e a República do Chile), celebrado em Assunção, em 20 de junho de 2005"".";"0";""
"2335151-35";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-35";"2023-02-14";"2023-02-14T18:56:04";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67113";"https://dadosabertos.camara.leg.br/api/v2/eventos/67113";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo relator, Dep. Pedro Paulo (PSD-RJ).";"2023-02-14T18:55:48";"Votação da Redação Final.";"2023-02-14T18:12:51";"Parecer proferido em Plenário pelo Relator, Dep. Pedro Paulo (PSD-RJ), pela Comissão Mista do Congresso Nacional, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência da Medida Provisória nº 1.138, de 2022; pela constitucionalidade, juridicidade e boa técnica legislativa da Medida Provisória nº 1.138, de 2022, e das emendas apresentadas perante a Comissão Mista, com a ressalva das emendas nºs 2, 3, 4, 5, 6, 7, e 8, consideradas inconstitucionais; pela adequação financeira e orçamentária da Medida Provisória nº 1.138, de 2022; pela não implicação financeira ou orçamentária das Emendas nºs 2, 3, 4, 5, 6, 7 e 8; e pela inadequação orçamentária e financeira da Emenda nº 1; e, no mérito, pela aprovação da Medida Provisória nº 1.138, de 2022, e pela rejeição de todas as emendas apresentadas perante a Comissão Mista.";"2348756";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348756"
"2335151-30";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-30";"2023-02-14";"2023-02-14T18:51:22";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67113";"https://dadosabertos.camara.leg.br/api/v2/eventos/67113";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2023-02-14T18:48:59";"Votação preliminar em turno único.";"2023-02-14T18:12:51";"Parecer proferido em Plenário pelo Relator, Dep. Pedro Paulo (PSD-RJ), pela Comissão Mista do Congresso Nacional, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência da Medida Provisória nº 1.138, de 2022; pela constitucionalidade, juridicidade e boa técnica legislativa da Medida Provisória nº 1.138, de 2022, e das emendas apresentadas perante a Comissão Mista, com a ressalva das emendas nºs 2, 3, 4, 5, 6, 7, e 8, consideradas inconstitucionais; pela adequação financeira e orçamentária da Medida Provisória nº 1.138, de 2022; pela não implicação financeira ou orçamentária das Emendas nºs 2, 3, 4, 5, 6, 7 e 8; e pela inadequação orçamentária e financeira da Emenda nº 1; e, no mérito, pela aprovação da Medida Provisória nº 1.138, de 2022, e pela rejeição de todas as emendas apresentadas perante a Comissão Mista.";"2348756";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348756"
"2335151-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-31";"2023-02-14";"2023-02-14T18:51:35";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67113";"https://dadosabertos.camara.leg.br/api/v2/eventos/67113";"1";"0";"0";"0";"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.";"2023-02-14T18:48:59";"Votação preliminar em turno único.";"2023-02-14T18:12:51";"Parecer proferido em Plenário pelo Relator, Dep. Pedro Paulo (PSD-RJ), pela Comissão Mista do Congresso Nacional, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência da Medida Provisória nº 1.138, de 2022; pela constitucionalidade, juridicidade e boa técnica legislativa da Medida Provisória nº 1.138, de 2022, e das emendas apresentadas perante a Comissão Mista, com a ressalva das emendas nºs 2, 3, 4, 5, 6, 7, e 8, consideradas inconstitucionais; pela adequação financeira e orçamentária da Medida Provisória nº 1.138, de 2022; pela não implicação financeira ou orçamentária das Emendas nºs 2, 3, 4, 5, 6, 7 e 8; e pela inadequação orçamentária e financeira da Emenda nº 1; e, no mérito, pela aprovação da Medida Provisória nº 1.138, de 2022, e pela rejeição de todas as emendas apresentadas perante a Comissão Mista.";"2348756";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348756"
"2335151-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2335151-33";"2023-02-14";"2023-02-14T18:55:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67113";"https://dadosabertos.camara.leg.br/api/v2/eventos/67113";"1";"0";"0";"0";"Aprovada a Medida Provisória nº 1.138, de 2022.";"2023-02-14T18:51:46";"Votação, quanto ao mérito, em turno único.";"2023-02-14T18:12:51";"Parecer proferido em Plenário pelo Relator, Dep. Pedro Paulo (PSD-RJ), pela Comissão Mista do Congresso Nacional, que conclui pelo atendimento dos pressupostos constitucionais de relevância e urgência da Medida Provisória nº 1.138, de 2022; pela constitucionalidade, juridicidade e boa técnica legislativa da Medida Provisória nº 1.138, de 2022, e das emendas apresentadas perante a Comissão Mista, com a ressalva das emendas nºs 2, 3, 4, 5, 6, 7, e 8, consideradas inconstitucionais; pela adequação financeira e orçamentária da Medida Provisória nº 1.138, de 2022; pela não implicação financeira ou orçamentária das Emendas nºs 2, 3, 4, 5, 6, 7 e 8; e pela inadequação orçamentária e financeira da Emenda nº 1; e, no mérito, pela aprovação da Medida Provisória nº 1.138, de 2022, e pela rejeição de todas as emendas apresentadas perante a Comissão Mista.";"2348756";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348756"
"2324977-62";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324977-62";"2023-02-15";"2023-02-15T12:09:35";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-15T12:09:06";"Votação da Redação Final.";"";"Apresentação do Projeto de Decreto Legislativo n. 161/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto da Convenção entre a República Federativa do Brasil e a República Oriental do Uruguai para Eliminar a Dupla Tributação em Relação aos Tributos sobre a Renda e sobre o Capital e Prevenir a Evasão e a Elisão Fiscais, assinado em Brasília, em 7 de junho de 2019"".";"0";""
"2267323-54";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2267323-54";"2023-02-15";"2023-02-15T12:16:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela relatora Dep. Flávia Morais (PDT-GO).";"2023-02-15T12:16:13";"Votação da Redação Final.";"2023-02-15T12:12:21";"Parecer proferido em Plenário pela Relatora, Dep. Flávia Morais (PDT-GO), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa do Projeto de Lei nº 5.543, de 2020, e do Substitutivo adotado pela relatora da Comissão de Saúde.";"2348830";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348830"
"2324989-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324989-43";"2023-02-15";"2023-02-15T12:48:26";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).";"2023-02-15T12:48:07";"Votação da Redação Final.";"";"Apresentação do Projeto de Decreto Legislativo n. 168/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto do Acordo Sobre Mecanismo de Cooperação entre os Estados Partes do Mercosul e Estados Associados, firmado em Santa Fé, República Argentina, em 16 de junho de 2019"".";"0";""
"2324977-60";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2324977-60";"2023-02-15";"2023-02-15T12:08:53";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 161, de 2022.";"2023-02-15T12:01:39";"Votação em turno único.";"";"Apresentação do Projeto de Decreto Legislativo n. 161/2022, pela REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL, que ""Aprova o texto da Convenção entre a República Federativa do Brasil e a República Oriental do Uruguai para Eliminar a Dupla Tributação em Relação aos Tributos sobre a Renda e sobre o Capital e Prevenir a Evasão e a Elisão Fiscais, assinado em Brasília, em 7 de junho de 2019"".";"0";""
"2267323-52";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2267323-52";"2023-02-15";"2023-02-15T12:15:59";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"67116";"https://dadosabertos.camara.leg.br/api/v2/eventos/67116";"1";"0";"0";"0";"Aprovado o Substitutivo ao Projeto de Lei nº 5.543, de 2020, adotado pela relatora da Comissão de Saúde.";"2023-02-15T12:15:43";"Votação em turno único.";"2023-02-15T12:12:21";"Parecer proferido em Plenário pela Relatora, Dep. Flávia Morais (PDT-GO), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa do Projeto de Lei nº 5.543, de 2020, e do Substitutivo adotado pela relatora da Comissão de Saúde.";"2348830";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348830"
