sigla_original;nome_original;status_catalogo;classe_operacional;partido_atual_normalizado;aparece_deputados;aparece_gastos;aparece_votos;aparece_orientacoes;aparece_autores;aparece_q9_q10_q11;entra_universo_analitico;precisa_classificacao_ideologica;acao_recomendada;observacao
PRD;Partido Renovacao Democratica;ativo;partido_analitico_atual;PRD;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via proxy fusao PTB+Patriota (score 8.161)
PSB;Partido Socialista Brasileiro;ativo;partido_analitico_atual;PSB;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 3.589)
PSD;Partido Social Democratico;ativo;partido_analitico_atual;PSD;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 6.937)
PSDB;Partido da Social Democracia Brasileira;ativo;partido_analitico_atual;PSDB;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 6.759). Orientacao via federacao FDRPSDB-CIDADANIA.
PSOL;Partido Socialismo e Liberdade;ativo;partido_analitico_atual;PSOL;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 1.415). Orientacao via federacao FDRPSOL-REDE.
PT;Partido dos Trabalhadores;ativo;partido_analitico_atual;PT;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 2.679). Orientacao via federacao FDRPT-PCDOB-PV.
PV;Partido Verde;ativo;partido_analitico_atual;PV;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 4.123). Orientacao via federacao FDRPT-PCDOB-PV.
REDE;Rede Sustentabilidade;ativo;partido_analitico_atual;REDE;NAO;SIM;SIM;NAO;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 (score 3.692). Orientacao via federacao FDRPSOL-REDE.
REPUBLICANOS;Republicanos;ativo;partido_analitico_atual;REPUBLICANOS;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia PRB/rep (score 8.333)
SOLIDARIEDADE;Solidariedade;ativo;partido_analitico_atual;SOLIDARIEDADE;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via equivalencia sdd (score 6.007)
UNIAO;Uniao Brasil;ativo;partido_analitico_atual;UNIAO;NAO;SIM;SIM;SIM;SIM;SIM;SIM;SIM - ja coberto;Nenhuma;Coberto por Bolognesi 2022 via coluna propria ideol_22_uniao (score 8.485)
ARENA;Alianca Renovadora Nacional;historico;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Remover do universo analitico;Partido extinto em 1979. Nao aparece em nenhum dado da 57a Legislatura. Nao e partido registrado no TSE atualmente. Manter apenas como registro historico.
PATRIOTA;Patriota;historico;alias_ou_historico_mapeavel;PRD;NAO;NAO;SIM;SIM;SIM;SIM;NAO - mapear para PRD;NAO - coberto via PRD;Normalizar para PRD nos dados;Incorporado ao PRD em 2023. Aparece em votos (2023) e proposicoes (1415 registros). Scores usados como componente do proxy PRD.
PROS;Partido Republicano da Ordem Social;historico;alias_ou_historico_mapeavel;SOLIDARIEDADE;NAO;NAO;SIM;NAO;SIM;SIM;NAO - mapear para SOLIDARIEDADE;NAO - coberto via SOLIDARIEDADE;Normalizar para SOLIDARIEDADE nos dados;Incorporado ao Solidariedade em 2023. Aparece em votos (2023) e proposicoes (231 registros).
PSC;Partido Social Cristao;historico;alias_ou_historico_mapeavel;PODE;NAO;NAO;SIM;NAO;SIM;SIM;NAO - mapear para PODE;NAO - coberto via PODE;Normalizar para PODE nos dados;Incorporado ao Podemos em 2023. Aparece em votos (2023) e proposicoes (568 registros).
PTB;Partido Trabalhista Brasileiro;historico;alias_ou_historico_mapeavel;PRD;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para PRD;NAO - coberto via PRD;Normalizar para PRD nos dados;Incorporado ao PRD em 2022. Aparece em proposicoes (1 registro). Scores usados como componente do proxy PRD.
DEM;Democratas;nao_consta_catalogo;alias_ou_historico_mapeavel;UNIAO;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para UNIAO;NAO - coberto via UNIAO;Normalizar para UNIAO nos dados;Incorporado ao Uniao Brasil em 2022. Aparece em proposicoes (2 registros).
PSL;Partido Social Liberal;nao_consta_catalogo;alias_ou_historico_mapeavel;UNIAO;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para UNIAO;NAO - coberto via UNIAO;Normalizar para UNIAO nos dados;Fundiu-se ao DEM para formar Uniao Brasil em 2022. Aparece em proposicoes (11 registros).
PODEMOS;Podemos (forma extensa);nao_consta_catalogo;alias_ou_historico_mapeavel;PODE;NAO;NAO;NAO;SIM;SIM;SIM;NAO - mapear para PODE;NAO - coberto via PODE;Normalizar para PODE nos dados;Forma extensa da sigla PODE. Aparece em orientacoes (1 registro) e proposicoes (15 registros).
REP;Republicanos (abreviacao);nao_consta_catalogo;abreviacao_interna;REPUBLICANOS;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para REPUBLICANOS;NAO - coberto via REPUBLICANOS;Normalizar para REPUBLICANOS nos dados;Abreviacao de Republicanos na API da Camara. Aparece em proposicoes (1 registro).
REPUB;Republicanos (abreviacao);nao_consta_catalogo;abreviacao_interna;REPUBLICANOS;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para REPUBLICANOS;NAO - coberto via REPUBLICANOS;Normalizar para REPUBLICANOS nos dados;Abreviacao de Republicanos na API da Camara. Aparece em proposicoes (1 registro).
REPUBLICA;Republicanos (abreviacao);nao_consta_catalogo;abreviacao_interna;REPUBLICANOS;NAO;NAO;NAO;NAO;SIM;SIM;NAO - mapear para REPUBLICANOS;NAO - coberto via REPUBLICANOS;Normalizar para REPUBLICANOS nos dados;Abreviacao de Republicanos na API da Camara. Aparece em proposicoes (1 registro).
REPUBLICAN;Republicanos (truncado);nao_consta_catalogo;abreviacao_interna;REPUBLICANOS;NAO;NAO;NAO;SIM;NAO;NAO;NAO - mapear para REPUBLICANOS;NAO - coberto via REPUBLICANOS;Normalizar para REPUBLICANOS nos dados;Forma truncada em votacoes_orientacoes (1 registro).
SOLIDARIED;Solidariedade (truncado);nao_consta_catalogo;abreviacao_interna;SOLIDARIEDADE;NAO;NAO;NAO;SIM;NAO;NAO;NAO - mapear para SOLIDARIEDADE;NAO - coberto via SOLIDARIEDADE;Normalizar para SOLIDARIEDADE nos dados;Forma truncada em votacoes_orientacoes (121 registros).
S.PART.;Sem partido;nao_consta_catalogo;abreviacao_interna;;NAO;SIM;SIM;NAO;SIM;SIM;NAO;NAO;Manter como flag de ausencia de partido;Abreviacao interna para deputados sem filiacao partidaria no momento do registro. 183 gastos, 77 votos, 85 proposicoes.
PDS;Partido Democratico Social;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Partido extinto. Nao aparece nos dados da 57a Legislatura.
PFL;Partido da Frente Liberal;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Partido extinto (transformou-se em DEM em 2007). Nao aparece nos dados.
PMDB;Partido do Movimento Democratico Brasileiro;nao_consta_catalogo;historico_fora_do_escopo;MDB;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Nome anterior do MDB. Nao aparece nos dados da 57a Legislatura.
PMN;Partido da Mobilizacao Nacional;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Partido sem bancada federal. Nao aparece nos dados. Presente em Bolognesi (ideol_22_pmn) mas irrelevante para BDR.
PPB;Partido Progressista Brasileiro;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Predecessor historico do PP. Nao aparece nos dados.
PPR;Partido Progressista Reformador;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Predecessor historico do PP. Nao aparece nos dados.
PPS;Partido Popular Socialista;nao_consta_catalogo;historico_fora_do_escopo;CIDADANIA;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Transformou-se em Cidadania em 2019. Nao aparece nos dados.
PR;Partido da Republica;nao_consta_catalogo;historico_fora_do_escopo;PL;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Transformou-se em PL em 2019. Nao aparece nos dados.
PSDC;Partido Social Democrata Cristao;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Transformou-se em DC em 2018. Nao aparece nos dados.
PST;Partido Social Trabalhista;nao_consta_catalogo;historico_fora_do_escopo;;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Partido sem relevancia atual. Nao aparece nos dados.
PTDOB;Partido Trabalhista do Brasil;nao_consta_catalogo;historico_fora_do_escopo;AVANTE;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Transformou-se em Avante em 2017. Nao aparece nos dados.
PTN;Partido Trabalhista Nacional;nao_consta_catalogo;historico_fora_do_escopo;PODE;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Transformou-se em Podemos em 2017. Nao aparece nos dados.
SD;Solidariedade (alias);nao_consta_catalogo;historico_fora_do_escopo;SOLIDARIEDADE;NAO;NAO;NAO;NAO;NAO;NAO;NAO;NAO;Nenhuma;Alias hipotetico de Solidariedade. Nao aparece nos dados. Forma correta e SOLIDARIEDADE.
